schemaName,databaseType,tableID,tableName,fieldID,fieldName,ruleID,ruleName,ruleDescription,typeID,objectType,supportDataType,threshold,totalRecord,badRecord,score,isCheckPass
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000081,REPORT_TIME,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Datetime,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000082,LOAD_TIME,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Datetime,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000083,EVENT_START,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Datetime,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000083,EVENT_START,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[event_stop],Consistency,field,Datetime,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000084,EVENT_STOP,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Datetime,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000084,EVENT_STOP,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[event_start],Consistency,field,Datetime,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,2000085,TECHNOLOGY_ID,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,154588,93,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000810,CONTENT_TYPE,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,String,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000811,APPLICATION_ID,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000812,APPLICATION_NAME,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,String,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000813,CONTENT_PROVIDER,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,String,10,2104428,1955564,7,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000815,CDN,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,String,10,2104428,577726,73,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000820,DELTA_STALL_COUNT,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,1998336,5,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000820,DELTA_STALL_COUNT,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,"Attribute value should be aligned with specified string columns separated by comma -[packets_dl,packets_ul,video_codec_bitrate,audio_codec_bitrate]",Consistency,field,Number,10,106092,13,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000821,DELTA_STALL_TIME,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,1955482,7,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000821,DELTA_STALL_TIME,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,"Attribute value should be aligned with specified string columns separated by comma -[packets_dl,packets_ul,video_codec_bitrate,audio_codec_bitrate]",Consistency,field,Number,10,148946,1403,99,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000824,VISITS,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000824,VISITS,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[application_id],Consistency,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000825,TIME_TO_START,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,1955482,7,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000825,TIME_TO_START,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,"Attribute value should be aligned with specified string columns separated by comma -[packets_dl,packets_ul]",Consistency,field,Number,10,148946,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000826,DATA_TRANSFER_TIME_DL,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000826,DATA_TRANSFER_TIME_DL,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[bytes_dl],Consistency,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000827,DATA_TRANSFER_TIME_UL,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000827,DATA_TRANSFER_TIME_UL,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[bytes_ul],Consistency,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000828,TIME_DURATION,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,1994051,5,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000828,TIME_DURATION,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,"Attribute value should be aligned with specified string columns separated by comma -[packets_dl,packets_ul]",Consistency,field,Number,10,110377,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000829,PACKETS_DL,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,556308,74,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000829,PACKETS_DL,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[bytes_dl],Consistency,field,Number,10,1548120,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000830,PACKETS_UL,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,556308,74,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000830,PACKETS_UL,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[bytes_ul],Consistency,field,Number,10,1548120,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000831,LOST_PACKETS,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000832,RETRANSMITTED_PACKETS_DL,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,556344,74,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000832,RETRANSMITTED_PACKETS_DL,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[packets_dl],Consistency,field,Number,10,1548084,0,100,Y
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000833,RETRANSMITTED_PACKETS_UL,1,CHECK_IF_ATTRIBUTE_HAS_VALUE,Attribute  should have valid values,Completeness,field,Number,10,2104428,556344,74,N
CEMOD,BIGDATA,200008,US_BB_STREAMING_1,20000833,RETRANSMITTED_PACKETS_UL,3,CHECK_IF_ATTRIBUTE_VALUE_ALIGNED,Attribute value should be aligned with specified string columns separated by comma -[packets_ul],Consistency,field,Number,10,1548084,0,100,Y
